id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,pgm,variance,seed,scan_num,write_ratio_begin,write_ratio_end,latency_variance,latency_sample,workload_shift,data_shift,hyper_thread,mse,error_bound,table_size
20220531023527,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_history_node_200M_uint64,lipp,3635862,100000000,17328762436,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023638,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,artunsync,2613567,100000000,8406155724,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023639,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,artunsync,2476823,100000000,10219960820,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023639,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/planet_features_osm_id_200M_uint64,artunsync,2574933,100000000,11160054432,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023654,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,artunsync,1889434,100000000,10727310544,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023754,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,artunsync,3678826,100000000,9036149728,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023759,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/wise_all_sky_data_htm_200M_uint64,artunsync,3090239,100000000,8346048732,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023807,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/fb_200M_uint64,artunsync,2388619,100000000,10515579248,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023807,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/books_200M_uint64,artunsync,2360397,100000000,11055434356,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023858,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/stovf_vote_id_200M_uint64,artunsync,4638513,100000000,5415247000,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531023922,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_history_node_200M_uint64,artunsync,2387606,100000000,9202905808,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024058,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,btree,1376551,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024058,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,btree,1411274,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024058,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/planet_features_osm_id_200M_uint64,btree,1396103,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024058,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,btree,1411557,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024232,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/fb_200M_uint64,btree,1399869,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024233,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/books_200M_uint64,btree,1399448,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024234,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,btree,1413725,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024234,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/wise_all_sky_data_htm_200M_uint64,btree,1411884,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024410,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_history_node_200M_uint64,btree,1414882,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024411,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/stovf_vote_id_200M_uint64,btree,1389565,100000000,5369411984,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024607,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,hot,1463771,100000000,2305371728,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024610,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/planet_features_osm_id_200M_uint64,hot,1412669,100000000,2300439808,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024611,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,hot,1376492,100000000,2340209552,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024617,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,hot,1352974,100000000,2507699040,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024813,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,hot,1457261,100000000,2216806568,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
20220531024813,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/wise_all_sky_data_htm_200M_uint64,hot,1469379,100000000,2265756896,1,0,0,0,0,0,0,0,0,0,20,1866,100,2.122e-314,4.94066e-324,0,0,0,0,0,0,64,200000000
